DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label 1
TE_00000175,35
TE_00000179,2
TE_00000180,1
TE_00000181,4
TE_00000182,4
TE_00000183,5
TE_00000184,4
TE_00000185,40
TE_00000186,2
TE_00000187,65
TE_00000188,28
TE_00000189,79
TE_00000190,259
TE_00000191,24
TE_00000192,11
TE_00000193,43
TE_00000196,2
TE_00000198,13
TE_00000199,2
TE_00000200,1
TE_00000201,1
TE_00000202,31
TE_00000203,3
TE_00000205,13
TE_00000206,2
TE_00000207,48
TE_00000208,53
TE_00000209,2
TE_00000210,15
TE_00000211,105
TE_00000212,258
TE_00000213_INT,42
TE_00000214,65
TE_00000215,85
TE_00000216,29
TE_00000217,85
TE_00000218,21
TE_00000219,147
TE_00000220,203
TE_00000221,222
TE_00000222,84
TE_00000225,18
TE_00000227,98
TE_00000228,1
TE_00000229,15
TE_00000230,6
TE_00000231,5
TE_00000232,29
TE_00000233,37
TE_00000234,5
TE_00000235,5
TE_00000236,11
TE_00000237,6
TE_00000239,9
TE_00000241,2
TE_00000242,10
TE_00000243,5
TE_00000244,5
TE_00000245,7
TE_00000246,8
TE_00000247,2
TE_00000248,54
TE_00000249,13
TE_00000250,24
TE_00000251,17
TE_00000252,41
TE_00000253,129
TE_00000254,33
TE_00000255_INT,129
TE_00000256,81
TE_00000257,4
TE_00000258,172
TE_00000259,1
TE_00000261,14
TE_00000262,2
TE_00000263,3
TE_00000264,8
TE_00000265,5
TE_00000266,6
TE_00000267,2
TE_00000268,13
TE_00000269,128
TE_00000270,22
TE_00000271_LTR,1
TE_00000272_LTR,3
TE_00000273,22
TE_00000274,54
TE_00000275,1
TE_00000275_INT,22
TE_00000276,7
TE_00000277,1
TE_00000277_INT,122
TE_00000278,1
TE_00000278_INT,21
TE_00000279_LTR,7
TE_00000281,1
TE_00000281_INT,694
TE_00000282,1
TE_00000282_INT,4
TE_00000285,2
TE_00000285_INT,12
TE_00000286,1
TE_00000286_INT,12
TE_00000288,1
TE_00000289_LTR,50
TE_00000290_LTR,1
TE_00000291,1
TE_00000291_INT,7
TE_00000292,1
TE_00000293,1
TE_00000294,2
TE_00000294_INT,17
TE_00000295_LTR,161
TE_00000297,21
TE_00000298,1
TE_00000299_LTR,3
TE_00000300,53
TE_00000301,25
TE_00000302,9
TE_00000303_LTR,2
TE_00000304_LTR,6
TE_00000305_LTR,2
TE_00000306,9
TE_00000307,1
TE_00000307_LTR,349
TE_00000308_LTR,4
TE_00000309,10
TE_00000310,8
TE_00000310_INT,44
TE_00000311,1
TE_00000311_INT,6
TE_00000312,41
TE_00000313_LTR,31
TE_00000314,1
TE_00000315,1
TE_00000315_INT,5
TE_00000316_INT,49
TE_00000318_LTR,2
TE_00000319_LTR,12
TE_00000320,11
TE_00000321,12
TE_00000322,2
TE_00000323_LTR,5
TE_00000326,1
TE_00000327_INT,80
TE_00000328_LTR,9
TE_00000329_LTR,6
TE_00000330,7
TE_00000332_LTR,10
TE_00000333,4
TE_00000333_INT,232
TE_00000334_LTR,5
TE_00000335,1
TE_00000335_INT,1
TE_00000336,4
TE_00000336_INT,83
TE_00000337,61
TE_00000338,48
TE_00000339,10
TE_00000340_INT,14
TE_00000342,4
TE_00000343,11
TE_00000344,1
TE_00000344_INT,5
TE_00000345_LTR,4
TE_00000346,2
TE_00000346_INT,17
TE_00000347,42
TE_00000348_LTR,8
TE_00000349_INT,13
TE_00000350,1
TE_00000351,5
TE_00000352,5
TE_00000353,13
TE_00000355,13
TE_00000356,1
TE_00000357,1
TE_00000357_INT,1
TE_00000358_LTR,5
TE_00000359,4
TE_00000360,1
TE_00000360_INT,3
TE_00000361,1
TE_00000362_LTR,2
TE_00000363,19
TE_00000364,1
TE_00000364_INT,3
TE_00000365,36
TE_00000366,2
TE_00000366_INT,164
TE_00000367,1
TE_00000368,4
TE_00000369,1
TE_00000370,2
TE_00000370_INT,69
TE_00000371_LTR,1
TE_00000372,1
TE_00000372_INT,19
TE_00000373,2
TE_00000375_LTR,8
TE_00000376,1
TE_00000377_LTR,5
TE_00000378_LTR,152
TE_00000379,1
TE_00000379_INT,1
TE_00000380_INT,9
TE_00000381,1
TE_00000381_INT,86
TE_00000382_LTR,30
TE_00000383,74
TE_00000384_LTR,3
TE_00000385,51
TE_00000386_INT,99
TE_00000387,2
TE_00000387_INT,2
TE_00000388_LTR,2
TE_00000389,52
TE_00000390_LTR,6
TE_00000391_LTR,7
TE_00000392_INT,5
TE_00000393,2
TE_00000394,2
TE_00000394_INT,1
TE_00000395,2
TE_00000396,12
TE_00000397,1
TE_00000397_INT,2
TE_00000398,3
TE_00000398_INT,2
TE_00000399_LTR,3
TE_00000400_LTR,7
TE_00000401_LTR,22
TE_00000402,1
TE_00000402_INT,7
TE_00000403,3
TE_00000404,1
TE_00000404_INT,46
TE_00000405,1
TE_00000405_INT,3
TE_00000406,14
TE_00000407,8
TE_00000408,36
TE_00000409,10
TE_00000410,10
TE_00000411_LTR,2
TE_00000412,5
TE_00000413_INT,2
TE_00000414_INT,43
TE_00000415,14
TE_00000416,2
TE_00000416_INT,1
TE_00000417_LTR,4
TE_00000419,2
TE_00000420,2
TE_00000421_LTR,10
TE_00000422,1
TE_00000422_INT,29
TE_00000423,5
TE_00000424_LTR,29
TE_00000425_LTR,2
TE_00000426_LTR,6
TE_00000427,29
TE_00000429_INT,1
TE_00000430,35
TE_00000431,8
TE_00000432,1
TE_00000432_INT,3
TE_00000433,13
TE_00000434,21
TE_00000435,4
TE_00000436_LTR,2
TE_00000437,17
TE_00000440,3
TE_00000441,3
TE_00000441_INT,3
TE_00000442_LTR,6
TE_00000443_LTR,8
TE_00000444,171
TE_00000446,5
TE_00000447_INT,57
TE_00000448,4
TE_00000449_LTR,4
TE_00000450,1
TE_00000450_INT,7
TE_00000451_LTR,3
TE_00000452,80
TE_00000453,2
TE_00000454,98
TE_00000455_LTR,9
TE_00000456,21
TE_00000457_LTR,1
TE_00000459_LTR,175
TE_00000460_LTR,4
TE_00000461_LTR,8
TE_00000462_INT,14
TE_00000463,1
TE_00000464,1
TE_00000464_INT,16
TE_00000465_LTR,1
TE_00000466_LTR,4
TE_00000467_LTR,2
TE_00000468_INT,95
TE_00000469,28
TE_00000470_LTR,3
TE_00000471,1
TE_00000471_INT,13
TE_00000473_LTR,63
TE_00000474,14
TE_00000475,2
TE_00000476,1
TE_00000476_INT,7
TE_00000477_LTR,3
TE_00000478,17
TE_00000479,1
TE_00000479_INT,8
TE_00000480_LTR,1
TE_00000481_INT,4
TE_00000482_INT,23
TE_00000483,54
TE_00000484,1
TE_00000486,1
TE_00000487,2
TE_00000488,7
TE_00000489_INT,5
TE_00000491_LTR,6
TE_00000492,5
TE_00000492_INT,7
TE_00000493,1
TE_00000493_INT,4
TE_00000494,3
TE_00000495,1
TE_00000495_INT,4
TE_00000496,3
TE_00000496_INT,12
TE_00000497_LTR,187
TE_00000498_LTR,300
TE_00000499,3
TE_00000500,19
TE_00000501,2
TE_00000501_INT,73
TE_00000502,1
TE_00000502_INT,4
TE_00000503_INT,5
TE_00000504,85
TE_00000505,4
TE_00000506,19
TE_00000507,1
TE_00000507_INT,7
TE_00000508,1
TE_00000508_INT,5
TE_00000509,7
TE_00000510,3
TE_00000511_LTR,2
TE_00000512,1
TE_00000513_LTR,12
TE_00000514,5
TE_00000515_LTR,91
TE_00000517_LTR,2
TE_00000518_INT,79
TE_00000519,1
TE_00000520,1
TE_00000520_INT,3
TE_00000521_LTR,108
TE_00000522,1
TE_00000522_INT,6
TE_00000524,19
TE_00000525,1
TE_00000525_INT,6
TE_00000526,34
TE_00000527_LTR,4
TE_00000528,2
TE_00000529,1
TE_00000529_INT,6
TE_00000530,2
TE_00000530_INT,5
TE_00000531_LTR,10
TE_00000532,4
TE_00000534,5
TE_00000534_INT,3
TE_00000535,1
